ID,Sản phẩm,Thương hiệu,Nguồn,Link,Loại SP,Khối lượng tịnh,Giá niêm yết (VND),Phí ship (VND),Ngưỡng Freeship (VND),Địa phương,HTML,Ngày Thêm,Tình trạng Giá,TMĐT
ID048,Cà phê rang xay Moka Highlands Coffee 200g/gói,Highlands Coffee,shop.highlandscoffee.com.vn,https://shop.highlandscoffee.com.vn/ca-phe-rang-xay-moka-highlands-coffee-200g-goi,Moka,200 g,"145,000","10,000","99,000",TP.HCM,<span class=price price--highlight id=price-preview>145.000₫</span>,2025-07-11,Đã,Không rõ
ID050,Cà phê đặc sản ARABICA LẠC DƯƠNG,Dehavi Coffee,dehavi.com,https://dehavi.com/ca-phe-dac-san-arabica-lac-duong,Arabica Lạc Dương,250 g,"110,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>110.000₫</span>,2025-07-11,Đã,Không rõ
ID051,Cà phê rang xay Sáng tạo 1 Trung Nguyên,Trung Nguyên Legend,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-trung-nguyen-sang-tao-so-1-goi-340g,Culi Robusta,340 g,"85,500",Theo chính sách BHX,Theo chính sách BHX,Toàn quốc,<p class=price><strong>85.500₫</strong></p>,2025-07-11,Đã,Không rõ
ID061,Hộp 500g cà phê đặc sản Eatu Café Specialty Coffee,Eatu Café,eatucafe.com,https://eatucafe.com/san-pham/ca-phe-dac-san-viet-nam-100-robusta-da-cham-diem-500g/,Robusta (Specialty),500 g,"210,000",Theo ĐVVC,"500,000",Toàn quốc,"<p class=price><del aria-hidden=true><span class=woocommerce-Price-amount amount><bdi>230,000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></del> <ins><span class=woocommerce-Price-amount amount><bdi>210,000<span class=woocommerce-Price-currencySymbol>₫</span></bdi></span></ins></p>",2025-07-11,Đã,Không rõ
ID062,100% ARABICA PHA PHIN,Dehavi Coffee,dehavi.com,https://dehavi.com/250gr-100-arabica-pha-phin,Arabica,250 g,"100,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>100.000₫</span>,2025-07-11,Đã,Không rõ
ID063,100% ROBUSTA PHA PHIN,Dehavi Coffee,dehavi.com,https://dehavi.com/250gr-100-robusta-pha-phin,Robusta,250 g,"80,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>80.000₫</span>,2025-07-11,Đã,Không rõ
ID064,Cà phê ARABICA Pha Máy,Dehavi Coffee,dehavi.com,https://dehavi.com/ca-phe-arabica-pha-may,Arabica,250 g,"150,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>150.000₫</span>,2025-07-11,Đã,Không rõ
ID065,Cà phê ROBUSTA Pha Máy,Dehavi Coffee,dehavi.com,https://dehavi.com/ca-phe-robusta-pha-may,Robusta,250 g,"140,000",Theo ĐVVC,Không rõ,Toàn quốc,<span class=price>140.000₫</span>,2025-07-11,Đã,Không rõ
ID073,Cà phê Mê Trang MC 1,Mê Trang,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-me-trang-mc-so-1-goi-500g,Blend,500 g,"112,000",Theo chính sách BHX,Theo chính sách BHX,Toàn quốc,<p class=price><strong>112.000₫</strong></p>,2025-07-11,Đã,Không rõ
ID074,Cà phê Mê Trang Robusta,Mê Trang,bachhoaxanh.com,https://www.bachhoaxanh.com/ca-phe-phin/ca-phe-me-trang-robusta-goi-500g,Robusta,500 g,"79,000",Theo chính sách BHX,Theo chính sách BHX,Toàn quốc,<p class=price><strong>79.000₫</strong></p>,2025-07-11,Đã,Không rõ
